iata,name,city,country_code,type,scheduled_service,iso_region,ident,label
WEF,Weifang Nanyuan Airport,Weifang (Kuiwen),CN,,,,,"Weifang (Kuiwen) — Weifang Nanyuan Airport (WEF), CN"
WEH,Weihai Dashuibo Airport,Weihai,CN,,,,,"Weihai — Weihai Dashuibo Airport (WEH), CN"
WNH,Wenshan Puzhehei Airport,Wenshan,CN,,,,,"Wenshan — Wenshan Puzhehei Airport (WNH), CN"
WNZ,Wenzhou Longwan International Airport,Wenzhou (Longwan),CN,,,,,"Wenzhou (Longwan) — Wenzhou Longwan International Airport (WNZ), CN"
WUA,Wuhai Airport,Wuhai,CN,,,,,"Wuhai — Wuhai Airport (WUA), CN"
WUH,Wuhan Tianhe International Airport,Wuhan (Huangpi),CN,,,,,"Wuhan (Huangpi) — Wuhan Tianhe International Airport (WUH), CN"
WHA,Wuhu Xuanzhou Airport,Wuhu,CN,,,,,"Wuhu — Wuhu Xuanzhou Airport (WHA), CN"
CQW,Chongqing Xiannüshan Airport,Wulong,CN,,,,,"Wulong — Chongqing Xiannüshan Airport (CQW), CN"
WSK,Chongqing Wushan Airport,Wushan,CN,,,,,"Wushan — Chongqing Wushan Airport (WSK), CN"
WUX,Sunan Shuofang International Airport,Wuxi,CN,,,,,"Wuxi — Sunan Shuofang International Airport (WUX), CN"
WUS,Nanping Wuyishan Airport,Wuyishan,CN,,,,,"Wuyishan — Nanping Wuyishan Airport (WUS), CN"
XMN,Xiamen Gaoqi International Airport,Xiamen,CN,,,,,"Xiamen — Xiamen Gaoqi International Airport (XMN), CN"
DXJ,Xiangxi Biancheng Airport,Xiangxi,CN,,,,,"Xiangxi — Xiangxi Biancheng Airport (DXJ), CN"
XFN,Xiangyang Liuji Airport,Xiangyang (Xiangzhou),CN,,,,,"Xiangyang (Xiangzhou) — Xiangyang Liuji Airport (XFN), CN"
XIY,Xi'an Xianyang International Airport,Xianyang (Weicheng),CN,,,,,"Xianyang (Weicheng) — Xi'an Xianyang International Airport (XIY), CN"
