iata,name,city,country_code,type,scheduled_service,iso_region,ident,label
CTM,Chetumal International Airport,Chetumal,MX,,,,,"Chetumal — Chetumal International Airport (CTM), MX"
CUU,General Roberto Fierro Villalobos International Airport,Chihuahua,MX,,,,,"Chihuahua — General Roberto Fierro Villalobos International Airport (CUU), MX"
CJS,Abraham González International Airport,Ciudad Juárez,MX,,,,,"Ciudad Juárez — Abraham González International Airport (CJS), MX"
CEN,Ciudad Obregón International Airport,Ciudad Obregón,MX,,,,,"Ciudad Obregón — Ciudad Obregón International Airport (CEN), MX"
CVM,General Pedro Jose Mendez International Airport,Ciudad Victoria,MX,,,,,"Ciudad Victoria — General Pedro Jose Mendez International Airport (CVM), MX"
MEX,Benito Juárez International Airport,Ciudad de México,MX,,,,,"Ciudad de México — Benito Juárez International Airport (MEX), MX"
CME,Ciudad del Carmen International Airport,Ciudad del Carmen,MX,,,,,"Ciudad del Carmen — Ciudad del Carmen International Airport (CME), MX"
CLQ,Licenciado Miguel de la Madrid International Airport,Colima,MX,,,,,"Colima — Licenciado Miguel de la Madrid International Airport (CLQ), MX"
CUA,Ciudad Constitución National Airport,Comondú,MX,,,,,"Comondú — Ciudad Constitución National Airport (CUA), MX"
MTT,Minatitlán/Coatzacoalcos International Airport,Cosoleacaque,MX,,,,,"Cosoleacaque — Minatitlán/Coatzacoalcos International Airport (MTT), MX"
CZM,Cozumel International Airport,Cozumel,MX,,,,,"Cozumel — Cozumel International Airport (CZM), MX"
CUL,Bachigualato Federal International Airport,Culiacán,MX,,,,,"Culiacán — Bachigualato Federal International Airport (CUL), MX"
DGO,General Guadalupe Victoria International Airport,Durango,MX,,,,,"Durango — General Guadalupe Victoria International Airport (DGO), MX"
GDL,Guadalajara International Airport,Guadalajara,MX,,,,,"Guadalajara — Guadalajara International Airport (GDL), MX"
GYM,General José María Yáñez International Airport,Guaymas,MX,,,,,"Guaymas — General José María Yáñez International Airport (GYM), MX"
HMO,General Ignacio L. Pesqueira International Airport,Hermosillo,MX,,,,,"Hermosillo — General Ignacio L. Pesqueira International Airport (HMO), MX"
HUX,Bahías de Huatulco International Airport,Huatulco,MX,,,,,"Huatulco — Bahías de Huatulco International Airport (HUX), MX"
ZIH,Ixtapa-Zihuatanejo International Airport,Ixtapa,MX,,,,,"Ixtapa — Ixtapa-Zihuatanejo International Airport (ZIH), MX"
IZT,General Antonio Cárdenas Rodríguez National Airport / Ixtepec Air Base,Ixtepec,MX,,,,,"Ixtepec — General Antonio Cárdenas Rodríguez National Airport / Ixtepec Air Base (IZT), MX"
LAP,Manuel Márquez de León International Airport,La Paz,MX,,,,,"La Paz — Manuel Márquez de León International Airport (LAP), MX"
LTO,Loreto International Airport,Loreto,MX,,,,,"Loreto — Loreto International Airport (LTO), MX"
LMM,Valle del Fuerte International Airport,Los Mochis,MX,,,,,"Los Mochis — Valle del Fuerte International Airport (LMM), MX"
ZLO,Playa de Oro International Airport,Manzanillo,MX,,,,,"Manzanillo — Playa de Oro International Airport (ZLO), MX"
MAM,General Servando Canales International Airport,Matamoros,MX,,,,,"Matamoros — General Servando Canales International Airport (MAM), MX"
MZT,General Rafael Buelna International Airport,Mazatlàn,MX,,,,,"Mazatlàn — General Rafael Buelna International Airport (MZT), MX"
MXL,General Rodolfo Sánchez Taboada International Airport,Mexicali,MX,,,,,"Mexicali — General Rodolfo Sánchez Taboada International Airport (MXL), MX"
NLU,General Felipe Ángeles International Airport,Mexico City,MX,,,,,"Mexico City — General Felipe Ángeles International Airport (NLU), MX"
MTY,Monterrey International Airport,Monterrey,MX,,,,,"Monterrey — Monterrey International Airport (MTY), MX"
MLM,General Francisco J. Mujica International Airport,Morelia,MX,,,,,"Morelia — General Francisco J. Mujica International Airport (MLM), MX"
SRL,Palo Verde Airport,Mulegé,MX,,,,,"Mulegé — Palo Verde Airport (SRL), MX"
MID,Manuel Crescencio Rejón International Airport,Mérida,MX,,,,,"Mérida — Manuel Crescencio Rejón International Airport (MID), MX"
NLD,Quetzalcóatl International Airport,Nuevo Laredo,MX,,,,,"Nuevo Laredo — Quetzalcóatl International Airport (NLD), MX"
OAX,Xoxocotlán International Airport,Oaxaca,MX,,,,,"Oaxaca — Xoxocotlán International Airport (OAX), MX"
PDS,Piedras Negras International Airport,Piedras Negras,MX,,,,,"Piedras Negras — Piedras Negras International Airport (PDS), MX"
PAZ,El Tajín National Airport,Poza Rica,MX,,,,,"Poza Rica — El Tajín National Airport (PAZ), MX"
PBC,Hermanos Serdán International Airport,Puebla,MX,,,,,"Puebla — Hermanos Serdán International Airport (PBC), MX"
PXM,Puerto Escondido International Airport,Puerto Escondido,MX,,,,,"Puerto Escondido — Puerto Escondido International Airport (PXM), MX"
PPE,Mar de Cortés International Airport,Puerto Peñasco,MX,,,,,"Puerto Peñasco — Mar de Cortés International Airport (PPE), MX"
PVR,Puerto Vallarta International Airport,Puerto Vallarta,MX,,,,,"Puerto Vallarta — Puerto Vallarta International Airport (PVR), MX"
QRO,Querétaro Intercontinental Airport,Querétaro,MX,,,,,"Querétaro — Querétaro Intercontinental Airport (QRO), MX"
REX,General Lucio Blanco International Airport,Reynosa,MX,,,,,"Reynosa — General Lucio Blanco International Airport (REX), MX"
SLW,Plan De Guadalupe International Airport,Saltillo,MX,,,,,"Saltillo — Plan De Guadalupe International Airport (SLW), MX"
SJD,Los Cabos International Airport,San José del Cabo,MX,,,,,"San José del Cabo — Los Cabos International Airport (SJD), MX"
SLP,Ponciano Arriaga International Airport,San Luis Potosí,MX,,,,,"San Luis Potosí — Ponciano Arriaga International Airport (SLP), MX"
GUB,Guerrero Negro Airport,San Quintín,MX,,,,,"San Quintín — Guerrero Negro Airport (GUB), MX"
BJX,Guanajuato International Airport,Silao,MX,,,,,"Silao — Guanajuato International Airport (BJX), MX"
TAM,General Francisco Javier Mina International Airport,Tampico,MX,,,,,"Tampico — General Francisco Javier Mina International Airport (TAM), MX"
TAP,Tapachula International Airport,Tapachula,MX,,,,,"Tapachula — Tapachula International Airport (TAP), MX"
TPQ,Amado Nervo National Airport,Tepic,MX,,,,,"Tepic — Amado Nervo National Airport (TPQ), MX"
TIJ,General Abelardo L. Rodriguez International Airport,Tijuana,MX,,,,,"Tijuana — General Abelardo L. Rodriguez International Airport (TIJ), MX"
TLC,Adolfo López Mateos International Airport,Toluca,MX,,,,,"Toluca — Adolfo López Mateos International Airport (TLC), MX"
TRC,Francisco Sarabia Tinoco International Airport,Torreón,MX,,,,,"Torreón — Francisco Sarabia Tinoco International Airport (TRC), MX"
TQO,Felipe Carrillo Puerto International Airport Tulum,Tulum,MX,,,,,"Tulum — Felipe Carrillo Puerto International Airport Tulum (TQO), MX"
TGZ,Angel Albino Corzo International Airport,Tuxtla Gutiérrez,MX,,,,,"Tuxtla Gutiérrez — Angel Albino Corzo International Airport (TGZ), MX"
UPN,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,Uruapan,MX,,,,,"Uruapan — Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport (UPN), MX"
VER,General Heriberto Jara International Airport,Veracruz,MX,,,,,"Veracruz — General Heriberto Jara International Airport (VER), MX"
VSA,Carlos Rovirosa Pérez International Airport,Villahermosa,MX,,,,,"Villahermosa — Carlos Rovirosa Pérez International Airport (VSA), MX"
ZCL,General Leobardo C. Ruiz International Airport,Zacatecas,MX,,,,,"Zacatecas — General Leobardo C. Ruiz International Airport (ZCL), MX"
AOR,Sultan Abdul Halim Airport,Alor Satar,MY,,,,,"Alor Satar — Sultan Abdul Halim Airport (AOR), MY"
BKM,Bakalalan Airport,Bakalalan,MY,,,,,"Bakalalan — Bakalalan Airport (BKM), MY"
BBN,Bario Airport,Bario,MY,,,,,"Bario — Bario Airport (BBN), MY"
BTU,Bintulu Airport,Bintulu,MY,,,,,"Bintulu — Bintulu Airport (BTU), MY"
IPH,Sultan Azlan Shah Airport,Ipoh,MY,,,,,"Ipoh — Sultan Azlan Shah Airport (IPH), MY"
JHB,Senai International Airport,Johor Bahru,MY,,,,,"Johor Bahru — Senai International Airport (JHB), MY"
KBR,Sultan Ismail Petra Airport,Kota Baharu,MY,,,,,"Kota Baharu — Sultan Ismail Petra Airport (KBR), MY"
BKI,Kota Kinabalu International Airport,Kota Kinabalu,MY,,,,,"Kota Kinabalu — Kota Kinabalu International Airport (BKI), MY"
TGG,Sultan Mahmud Airport,Kuala Terengganu,MY,,,,,"Kuala Terengganu — Sultan Mahmud Airport (TGG), MY"
KUA,Kuantan Airport,Kuantan,MY,,,,,"Kuantan — Kuantan Airport (KUA), MY"
KCH,Kuching International Airport,Kuching,MY,,,,,"Kuching — Kuching International Airport (KCH), MY"
KUD,Kudat Airport,Kudat,MY,,,,,"Kudat — Kudat Airport (KUD), MY"
LBU,Labuan Airport,Labuan,MY,,,,,"Labuan — Labuan Airport (LBU), MY"
LDU,Lahad Datu Airport,Lahad Datu,MY,,,,,"Lahad Datu — Lahad Datu Airport (LDU), MY"
LGK,Langkawi International Airport,Langkawi,MY,,,,,"Langkawi — Langkawi International Airport (LGK), MY"
LWY,Lawas Airport,Lawas,MY,,,,,"Lawas — Lawas Airport (LWY), MY"
LMN,Limbang Airport,Limbang,MY,,,,,"Limbang — Limbang Airport (LMN), MY"
LBP,Long Banga Airport,Long Banga,MY,,,,,"Long Banga — Long Banga Airport (LBP), MY"
LGL,Long Lellang Airport,Long Datih,MY,,,,,"Long Datih — Long Lellang Airport (LGL), MY"
ODN,Long Seridan Airport,Long Seridan,MY,,,,,"Long Seridan — Long Seridan Airport (ODN), MY"
MKZ,Malacca International Airport,Malacca,MY,,,,,"Malacca — Malacca International Airport (MKZ), MY"
MUR,Marudi Airport,Marudi,MY,,,,,"Marudi — Marudi Airport (MUR), MY"
MYY,Miri Airport,Miri,MY,,,,,"Miri — Miri Airport (MYY), MY"
MKM,Mukah Airport,Mukah,MY,,,,,"Mukah — Mukah Airport (MKM), MY"
MZV,Mulu Airport,Mulu,MY,,,,,"Mulu — Mulu Airport (MZV), MY"
PKG,Pulau Pangkor Airport,Pangkor Island,MY,,,,,"Pangkor Island — Pulau Pangkor Airport (PKG), MY"
PEN,Penang International Airport,Penang,MY,,,,,"Penang — Penang International Airport (PEN), MY"
SDK,Sandakan Airport,Sandakan,MY,,,,,"Sandakan — Sandakan Airport (SDK), MY"
KUL,Kuala Lumpur International Airport,Sepang,MY,,,,,"Sepang — Kuala Lumpur International Airport (KUL), MY"
SBW,Sibu Airport,Sibu,MY,,,,,"Sibu — Sibu Airport (SBW), MY"
SZB,Sultan Abdul Aziz Shah International Airport,Subang,MY,,,,,"Subang — Sultan Abdul Aziz Shah International Airport (SZB), MY"
TWU,Tawau Airport,Tawau,MY,,,,,"Tawau — Tawau Airport (TWU), MY"
TOD,Tioman Airport,Tioman Island,MY,,,,,"Tioman Island — Tioman Airport (TOD), MY"
TMG,Tomanggong Airport,Tomanggong,MY,,,,,"Tomanggong — Tomanggong Airport (TMG), MY"
BEW,Beira International Airport,Beira,MZ,,,,,"Beira — Beira International Airport (BEW), MZ"
VPY,Chimoio Airport,Chimoio,MZ,,,,,"Chimoio — Chimoio Airport (VPY), MZ"
INH,Inhambane Airport,Inhambane,MZ,,,,,"Inhambane — Inhambane Airport (INH), MZ"
VXC,Lichinga Airport,Lichinga,MZ,,,,,"Lichinga — Lichinga Airport (VXC), MZ"
MPM,Maputo Airport,Maputo,MZ,,,,,"Maputo — Maputo Airport (MPM), MZ"
APL,Nampula Airport,Nampula,MZ,,,,,"Nampula — Nampula Airport (APL), MZ"
POL,Pemba Airport,Pemba,MZ,,,,,"Pemba — Pemba Airport (POL), MZ"
UEL,Quelimane Airport,Quelimane,MZ,,,,,"Quelimane — Quelimane Airport (UEL), MZ"
TET,Chingozi Airport,Tete,MZ,,,,,"Tete — Chingozi Airport (TET), MZ"
VNX,Vilankulo Airport,Vilanculo,MZ,,,,,"Vilanculo — Vilankulo Airport (VNX), MZ"
VJB,Xai-Xai Chongoene Airport,Xai-Xai,MZ,,,,,"Xai-Xai — Xai-Xai Chongoene Airport (VJB), MZ"
HAL,Halali Airport,Halali,NAN,,,,,"Halali — Halali Airport (HAL), NAN"
LUD,Luderitz Airport,Luderitz,NAN,,,,,"Luderitz — Luderitz Airport (LUD), NAN"
MPA,Katima Mulilo Airport,Mpacha,NAN,,,,,"Mpacha — Katima Mulilo Airport (MPA), NAN"
OND,Ondangwa Airport,Ondangwa,NAN,,,,,"Ondangwa — Ondangwa Airport (OND), NAN"
OMD,Oranjemund Airport,Oranjemund,NAN,,,,,"Oranjemund — Oranjemund Airport (OMD), NAN"
NDU,Rundu Airport,Rundu,NAN,,,,,"Rundu — Rundu Airport (NDU), NAN"
WVB,Walvis Bay International Airport,Walvis Bay(Rooikop),NAN,,,,,"Walvis Bay(Rooikop) — Walvis Bay International Airport (WVB), NAN"
ERS,Eros Airport,Windhoek,NAN,,,,,"Windhoek — Eros Airport (ERS), NAN"
WDH,Hosea Kutako International Airport,Windhoek,NAN,,,,,"Windhoek — Hosea Kutako International Airport (WDH), NAN"
KNQ,Koné Airport,Koné,NC,,,,,"Koné — Koné Airport (KNQ), NC"
KOC,Koumac Airport,Koumac,NC,,,,,"Koumac — Koumac Airport (KOC), NC"
LIF,Lifou Airport,Lifou,NC,,,,,"Lifou — Lifou Airport (LIF), NC"
MEE,Maré Airport,Maré,NC,,,,,"Maré — Maré Airport (MEE), NC"
GEA,Nouméa Magenta Airport,Nouméa,NC,,,,,"Nouméa — Nouméa Magenta Airport (GEA), NC"
NOU,La Tontouta International Airport,Nouméa (La Tontouta),NC,,,,,"Nouméa (La Tontouta) — La Tontouta International Airport (NOU), NC"
UVE,Ouvéa Airport,Ouvéa,NC,,,,,"Ouvéa — Ouvéa Airport (UVE), NC"
TGJ,Tiga Airport,Tiga,NC,,,,,"Tiga — Tiga Airport (TGJ), NC"
TOU,Touho Airport,Touho,NC,,,,,"Touho — Touho Airport (TOU), NC"
BMY,Île Art - Waala Airport,Waala,NC,,,,,"Waala — Île Art - Waala Airport (BMY), NC"
ILP,Île des Pins Airport,Île des Pins,NC,,,,,"Île des Pins — Île des Pins Airport (ILP), NC"
NIM,Diori Hamani International Airport,Niamey,NE,,,,,"Niamey — Diori Hamani International Airport (NIM), NE"
ZND,Zinder Airport,Zinder,NE,,,,,"Zinder — Zinder Airport (ZND), NE"
NLK,Norfolk Island International Airport,Burnt Pine,NF,,,,,"Burnt Pine — Norfolk Island International Airport (NLK), NF"
ABV,Nnamdi Azikiwe International Airport,Abuja,NG,,,,,"Abuja — Nnamdi Azikiwe International Airport (ABV), NG"
AKR,Akure Airport,Akure,NG,,,,,"Akure — Akure Airport (AKR), NG"
BCU,Sir Abubakar Tafawa Balewa Bauchi State International Airport,Bauchi,NG,,,,,"Bauchi — Sir Abubakar Tafawa Balewa Bauchi State International Airport (BCU), NG"
BNI,Benin Airport,Benin,NG,,,,,"Benin — Benin Airport (BNI), NG"
CBQ,Margaret Ekpo International Airport,Calabar,NG,,,,,"Calabar — Margaret Ekpo International Airport (CBQ), NG"
ENU,Akanu Ibiam International Airport,Enegu,NG,,,,,"Enegu — Akanu Ibiam International Airport (ENU), NG"
GMO,Gombe Lawanti International Airport,Gombe,NG,,,,,"Gombe — Gombe Lawanti International Airport (GMO), NG"
IBA,Ibadan Airport,Ibadan,NG,,,,,"Ibadan — Ibadan Airport (IBA), NG"
ILR,General Tunde Idiagbon International Airport,Ilorin/Ogbomosho,NG,,,,,"Ilorin/Ogbomosho — General Tunde Idiagbon International Airport (ILR), NG"
JOS,Yakubu Gowon Airport,Jos,NG,,,,,"Jos — Yakubu Gowon Airport (JOS), NG"
KAD,Kaduna International Airport,Kaduna,NG,,,,,"Kaduna — Kaduna International Airport (KAD), NG"
KAN,Mallam Aminu Kano International Airport,Kano,NG,,,,,"Kano — Mallam Aminu Kano International Airport (KAN), NG"
DKA,Umaru Musa Yar'adua Airport,Katsina,NG,,,,,"Katsina — Umaru Musa Yar'adua Airport (DKA), NG"
LOS,Murtala Muhammed International Airport,Lagos,NG,,,,,"Lagos — Murtala Muhammed International Airport (LOS), NG"
MIU,Maiduguri International Airport,Maiduguri,NG,,,,,"Maiduguri — Maiduguri International Airport (MIU), NG"
MDI,Makurdi Airport,Makurdi,NG,,,,,"Makurdi — Makurdi Airport (MDI), NG"
QRW,Warri Airport,Okpe,NG,,,,,"Okpe — Warri Airport (QRW), NG"
QOW,Sam Mbakwe International Airport,Owerri,NG,,,,,"Owerri — Sam Mbakwe International Airport (QOW), NG"
PHG,Port Harcourt City Airport / Port Harcourt Air Force Base,Port Harcourt,NG,,,,,"Port Harcourt — Port Harcourt City Airport / Port Harcourt Air Force Base (PHG), NG"
PHC,Port Harcourt International Airport,Port Harcourt,NG,,,,,"Port Harcourt — Port Harcourt International Airport (PHC), NG"
SKO,Sadiq Abubakar III International Airport,Sokoto,NG,,,,,"Sokoto — Sadiq Abubakar III International Airport (SKO), NG"
QUO,Akwa Ibom International Airport,Uyo,NG,,,,,"Uyo — Akwa Ibom International Airport (QUO), NG"
YOL,Yola Airport,Yola,NG,,,,,"Yola — Yola Airport (YOL), NG"
BEF,Bluefields Airport,Bluefields,NI,,,,,"Bluefields — Bluefields Airport (BEF), NI"
MGA,Augusto C. Sandino (Managua) International Airport,Managua,NI,,,,,"Managua — Augusto C. Sandino (Managua) International Airport (MGA), NI"
PUZ,Puerto Cabezas Airport,Puerto Cabezas,NI,,,,,"Puerto Cabezas — Puerto Cabezas Airport (PUZ), NI"
AMS,Amsterdam Airport Schiphol,Amsterdam,NL,,,,,"Amsterdam — Amsterdam Airport Schiphol (AMS), NL"
EIN,Eindhoven Airport,Eindhoven,NL,,,,,"Eindhoven — Eindhoven Airport (EIN), NL"
GRQ,Groningen Airport Eelde,Groningen,NL,,,,,"Groningen — Groningen Airport Eelde (GRQ), NL"
MST,Maastricht Aachen Airport,Maastricht,NL,,,,,"Maastricht — Maastricht Aachen Airport (MST), NL"
RTM,Rotterdam The Hague Airport,Rotterdam,NL,,,,,"Rotterdam — Rotterdam The Hague Airport (RTM), NL"
SSJ,"Sandnessjøen Airport, Stokka",Alstahaug,NO,,,,,"Alstahaug — Sandnessjøen Airport, Stokka (SSJ), NO"
ALF,Alta Airport,Alta,NO,,,,,"Alta — Alta Airport (ALF), NO"
ANX,"Andøya Airport, Andenes",Andenes,NO,,,,,"Andenes — Andøya Airport, Andenes (ANX), NO"
BGO,"Bergen Airport, Flesland",Bergen,NO,,,,,"Bergen — Bergen Airport, Flesland (BGO), NO"
BVG,Berlevåg Airport,Berlevåg,NO,,,,,"Berlevåg — Berlevåg Airport (BVG), NO"
BOO,Bodø Airport,Bodø,NO,,,,,"Bodø — Bodø Airport (BOO), NO"
BNN,"Brønnøysund Airport, Brønnøy",Brønnøy,NO,,,,,"Brønnøy — Brønnøysund Airport, Brønnøy (BNN), NO"
BJF,Båtsfjord Airport,Båtsfjord,NO,,,,,"Båtsfjord — Båtsfjord Airport (BJF), NO"
EVE,Harstad/Narvik Airport,Evenes,NO,,,,,"Evenes — Harstad/Narvik Airport (EVE), NO"
FRO,Florø Airport,Florø,NO,,,,,"Florø — Florø Airport (FRO), NO"
FDE,"Førde Airport, Bringeland",Førde,NO,,,,,"Førde — Førde Airport, Bringeland (FDE), NO"
SKN,"Stokmarknes Airport, Skagen",Hadsel,NO,,,,,"Hadsel — Stokmarknes Airport, Skagen (SKN), NO"
HFT,Hammerfest Airport,Hammerfest,NO,,,,,"Hammerfest — Hammerfest Airport (HFT), NO"
HAA,Hasvik Airport,Hasvik,NO,,,,,"Hasvik — Hasvik Airport (HAA), NO"
HVG,"Honningsvåg Airport, Valan",Honningsvåg,NO,,,,,"Honningsvåg — Honningsvåg Airport, Valan (HVG), NO"
HAU,"Haugesund Airport, Karmøy",Karmøy,NO,,,,,"Karmøy — Haugesund Airport, Karmøy (HAU), NO"
KKN,"Kirkenes Airport, Høybuktmoen",Kirkenes,NO,,,,,"Kirkenes — Kirkenes Airport, Høybuktmoen (KKN), NO"
KRS,Kristiansand Airport,Kristiansand(Kjevik),NO,,,,,"Kristiansand(Kjevik) — Kristiansand Airport (KRS), NO"
KSU,"Kristiansund Airport, Kvernberget",Kvernberget,NO,,,,,"Kvernberget — Kristiansund Airport, Kvernberget (KSU), NO"
LKL,"Lakselv Airport, Banak",Lakselv,NO,,,,,"Lakselv — Lakselv Airport, Banak (LKL), NO"
SRP,"Stord Airport, Sørstokken",Leirvik,NO,,,,,"Leirvik — Stord Airport, Sørstokken (SRP), NO"
LKN,Leknes Airport,Leknes,NO,,,,,"Leknes — Leknes Airport (LKN), NO"
LYR,Svalbard Airport,Longyearbyen,NO,,,,,"Longyearbyen — Svalbard Airport (LYR), NO"
MEH,Mehamn Airport,Mehamn,NO,,,,,"Mehamn — Mehamn Airport (MEH), NO"
MQN,"Mo i Rana Airport, Røssvoll",Mo i Rana,NO,,,,,"Mo i Rana — Mo i Rana Airport, Røssvoll (MQN), NO"
MJF,"Mosjøen Airport, Kjærstad",Mosjøen,NO,,,,,"Mosjøen — Mosjøen Airport, Kjærstad (MJF), NO"
BDU,Bardufoss Airport,Målselv,NO,,,,,"Målselv — Bardufoss Airport (BDU), NO"
OSY,Namsos Airport,Namsos,NO,,,,,"Namsos — Namsos Airport (OSY), NO"
OSL,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,,,,,"Oslo (Gardermoen) — Oslo-Gardermoen International Airport (OSL), NO"
RRS,Røros Airport,Røros,NO,,,,,"Røros — Røros Airport (RRS), NO"
RVK,"Rørvik Airport, Ryum",Rørvik,NO,,,,,"Rørvik — Rørvik Airport, Ryum (RVK), NO"
RET,Røst Airport,Røst,NO,,,,,"Røst — Røst Airport (RET), NO"
SDN,"Sandane Airport, Anda",Sandane,NO,,,,,"Sandane — Sandane Airport, Anda (SDN), NO"
TRF,"Sandefjord Airport, Torp",Sandefjord(Torp),NO,,,,,"Sandefjord(Torp) — Sandefjord Airport, Torp (TRF), NO"
SOG,"Sogndal Airport, Haukåsen",Sogndal,NO,,,,,"Sogndal — Sogndal Airport, Haukåsen (SOG), NO"
SVG,"Stavanger Airport, Sola",Stavanger,NO,,,,,"Stavanger — Stavanger Airport, Sola (SVG), NO"
SVJ,"Svolvær Airport, Helle",Svolvær,NO,,,,,"Svolvær — Svolvær Airport, Helle (SVJ), NO"
SOJ,Sørkjosen Airport,Sørkjosen,NO,,,,,"Sørkjosen — Sørkjosen Airport (SOJ), NO"
TOS,Tromsø Airport,Tromsø,NO,,,,,"Tromsø — Tromsø Airport (TOS), NO"
TRD,"Trondheim Airport, Værnes",Trondheim,NO,,,,,"Trondheim — Trondheim Airport, Værnes (TRD), NO"
VDS,Vadsø Airport,Vadsø,NO,,,,,"Vadsø — Vadsø Airport (VDS), NO"
VAW,"Vardø Airport, Svartnes",Vardø,NO,,,,,"Vardø — Vardø Airport, Svartnes (VAW), NO"
VRY,Værøy Heliport,Værøy,NO,,,,,"Værøy — Værøy Heliport (VRY), NO"
AES,Ålesund Airport,Ålesund,NO,,,,,"Ålesund — Ålesund Airport (AES), NO"
MOL,"Molde Airport, Årø",Årø,NO,,,,,"Årø — Molde Airport, Årø (MOL), NO"
OLA,Ørland Airport,Ørland,NO,,,,,"Ørland — Ørland Airport (OLA), NO"
HOV,"Ørsta-Volda Airport, Hovden",Ørsta,NO,,,,,"Ørsta — Ørsta-Volda Airport, Hovden (HOV), NO"
BDP,Bhadrapur Airport,Bhadrapur,NP,,,,,"Bhadrapur — Bhadrapur Airport (BDP), NP"
BHR,Bharatpur Airport,Bharatpur,NP,,,,,"Bharatpur — Bharatpur Airport (BHR), NP"
BIR,Biratnagar Airport,Biratnagar,NP,,,,,"Biratnagar — Biratnagar Airport (BIR), NP"
DOP,Dolpa Airport,Dolpa,NP,,,,,"Dolpa — Dolpa Airport (DOP), NP"
JKR,Janakpur Airport,Janakpur,NP,,,,,"Janakpur — Janakpur Airport (JKR), NP"
JMO,Jomsom Airport,Jomsom,NP,,,,,"Jomsom — Jomsom Airport (JMO), NP"
JUM,Jumla Airport,Jumla,NP,,,,,"Jumla — Jumla Airport (JUM), NP"
KTM,Tribhuvan International Airport,Kathmandu,NP,,,,,"Kathmandu — Tribhuvan International Airport (KTM), NP"
LUA,Lukla Airport,Lukla,NP,,,,,"Lukla — Lukla Airport (LUA), NP"
KEP,Nepalgunj Airport,Nepalgunj,NP,,,,,"Nepalgunj — Nepalgunj Airport (KEP), NP"
PKR,Pokhara Domestic Airport,Pokhara,NP,,,,,"Pokhara — Pokhara Domestic Airport (PKR), NP"
PHH,Pokhara International Airport,Pokhara,NP,,,,,"Pokhara — Pokhara International Airport (PHH), NP"
BWA,Gautam Buddha International Airport,Siddharthanagar (Bhairahawa),NP,,,,,"Siddharthanagar (Bhairahawa) — Gautam Buddha International Airport (BWA), NP"
SIH,Silgadi Doti Airport,Silgadi Doti,NP,,,,,"Silgadi Doti — Silgadi Doti Airport (SIH), NP"
SIF,Simara Airport,Simara,NP,,,,,"Simara — Simara Airport (SIF), NP"
IMK,Simikot Airport,Simikot,NP,,,,,"Simikot — Simikot Airport (IMK), NP"
SKH,Surkhet Airport,Surkhet,NP,,,,,"Surkhet — Surkhet Airport (SKH), NP"
TPJ,Taplejung Airport,Taplejung,NP,,,,,"Taplejung — Taplejung Airport (TPJ), NP"
TMI,Tumling Tar Airport,Tumling Tar,NP,,,,,"Tumling Tar — Tumling Tar Airport (TMI), NP"
INU,Nauru International Airport,Yaren District,NR,,,,,"Yaren District — Nauru International Airport (INU), NR"
IUE,Niue International Airport,Alofi,NU,,,,,"Alofi — Niue International Airport (IUE), NU"
HKK,Hokitika Airfield,,NZ,,,,,"Hokitika Airfield (HKK), NZ"
TIU,Timaru Airport,,NZ,,,,,"Timaru Airport (TIU), NZ"
WHK,Whakatane Airport,,NZ,,,,,"Whakatane Airport (WHK), NZ"
AKL,Auckland International Airport,Auckland,NZ,,,,,"Auckland — Auckland International Airport (AKL), NZ"
KAT,Kaitaia Airport,Awanui,NZ,,,,,"Awanui — Kaitaia Airport (KAT), NZ"
BHE,Woodbourne Airport,Blenheim,NZ,,,,,"Blenheim — Woodbourne Airport (BHE), NZ"
CHC,Christchurch International Airport,Christchurch,NZ,,,,,"Christchurch — Christchurch International Airport (CHC), NZ"
DUD,Dunedin International Airport,Dunedin,NZ,,,,,"Dunedin — Dunedin International Airport (DUD), NZ"
GIS,Gisborne Airport,Gisborne,NZ,,,,,"Gisborne — Gisborne Airport (GIS), NZ"
HLZ,Hamilton International Airport,Hamilton,NZ,,,,,"Hamilton — Hamilton International Airport (HLZ), NZ"
IVC,Invercargill Airport,Invercargill,NZ,,,,,"Invercargill — Invercargill Airport (IVC), NZ"
KKE,Kerikeri Airport,Kerikeri,NZ,,,,,"Kerikeri — Kerikeri Airport (KKE), NZ"
PCN,Picton Aerodrome,Koromiko,NZ,,,,,"Koromiko — Picton Aerodrome (PCN), NZ"
NPE,Hawke's Bay Airport,Napier,NZ,,,,,"Napier — Hawke's Bay Airport (NPE), NZ"
NSN,Nelson Airport,Nelson,NZ,,,,,"Nelson — Nelson Airport (NSN), NZ"
NPL,New Plymouth Airport,New Plymouth,NZ,,,,,"New Plymouth — New Plymouth Airport (NPL), NZ"
PMR,Palmerston North Airport,Palmerston North,NZ,,,,,"Palmerston North — Palmerston North Airport (PMR), NZ"
ZQN,Queenstown Airport,Queenstown,NZ,,,,,"Queenstown — Queenstown Airport (ZQN), NZ"
ROT,Rotorua Regional Airport,Rotorua,NZ,,,,,"Rotorua — Rotorua Regional Airport (ROT), NZ"
TUO,Taupo Airport,Taupo,NZ,,,,,"Taupo — Taupo Airport (TUO), NZ"
